count,sample_id,taxon_id
15,s1,t1
34,s2,t1
14,s3,t1
20,s4,t1
12,s5,t1
11,s6,t1
17,s7,t1
51,s8,t1
29,s9,t1
33,s10,t1
15,s12,t1
37264,s13,t1
23967,s14,t1
32712,s15,t1
25809,s16,t1
25356,s17,t1
25633,s18,t1
26346,s19,t1
33091,s20,t1
33392,s21,t1
28556,s22,t1
34211,s23,t1
30304,s24,t1
47,s26,t1
17,s28,t1
180,s30,t1
31,s31,t1
22,s33,t1
85,s2,t2
17,s8,t2
11347,s28,t2
7313,s29,t2
487446,s30,t2
5791,s31,t2
14942,s32,t2
10035,s33,t2
26,s2,t3
3488,s28,t3
2190,s29,t3
207035,s30,t3
1937,s31,t3
6792,s32,t3
2154,s33,t3
5,s4,t4
7,s9,t4
2571,s13,t4
2801,s14,t4
1855,s15,t4
2538,s16,t4
1605,s17,t4
1908,s18,t4
1488,s19,t4
1343,s20,t4
2720,s21,t4
1046,s22,t4
1067,s23,t4
1905,s24,t4
5,s26,t4
6,s31,t4
39,s29,t5
2168,s30,t5
70,s32,t5
38,s33,t5
826,s2,t6
22833,s3,t6
28660,s5,t6
11664,s6,t6
2642,s7,t6
29,s9,t6
236,s10,t6
9242,s11,t6
1237,s13,t6
831,s14,t6
652,s15,t6
877,s16,t6
1292,s17,t6
266,s18,t6
906,s19,t6
338,s20,t6
961,s21,t6
181,s22,t6
974,s23,t6
747,s24,t6
213,s28,t6
247,s29,t6
25707,s30,t6
269,s31,t6
766,s32,t6
476,s33,t6
17,s7,t7
75,s23,t7
45,s27,t7
28,s28,t7
162551,s30,t7
51,s31,t7
34,s32,t7
87,s33,t7
5,s19,t8
107,s13,t9
240,s14,t9
205,s15,t9
38,s16,t9
23,s19,t9
1426,s24,t9
161,s28,t9
81,s29,t9
124915,s30,t9
24,s31,t9
294,s32,t9
80,s33,t9
19,s14,t10
13,s15,t10
7,s17,t10
5,s18,t10
19,s19,t10
96,s20,t10
56,s21,t10
13,s22,t10
419,s23,t10
13380,s28,t11
4392,s32,t11
380,s13,t12
361,s15,t12
183,s16,t12
769,s17,t12
58,s18,t12
87,s19,t12
36,s20,t12
159,s21,t12
140,s22,t12
406,s23,t12
1690,s24,t12
227,s28,t12
180,s29,t12
50534,s30,t12
342,s31,t12
564,s32,t12
748,s33,t12
96718,s30,t13
8,s33,t13
945,s13,t14
350,s14,t14
78,s15,t14
105,s16,t14
92,s17,t14
33,s18,t14
15,s19,t14
5,s21,t14
8,s22,t14
19,s24,t14
144,s28,t14
913,s29,t14
67632,s30,t14
801,s31,t14
403,s32,t14
913,s33,t14
65,s13,t15
21,s15,t15
31,s16,t15
17,s17,t15
15,s19,t15
15,s21,t15
238,s24,t15
204,s28,t15
63,s29,t15
74483,s30,t15
92,s31,t15
100,s32,t15
77,s33,t15
12,s26,t16
181,s28,t17
353,s29,t17
70320,s30,t17
399,s31,t17
163,s32,t17
187,s33,t17
54,s13,t18
31,s14,t18
17,s16,t18
36,s24,t18
232,s28,t18
667,s29,t18
55667,s30,t18
619,s31,t18
118,s32,t18
145,s33,t18
454,s13,t19
7,s15,t19
2077,s17,t19
463,s19,t19
30,s22,t19
813,s24,t19
175,s28,t19
9,s29,t19
42118,s30,t19
25,s31,t19
566,s32,t19
500,s33,t19
749,s13,t20
270,s14,t20
58,s15,t20
158,s16,t20
100,s17,t20
17,s18,t20
23,s19,t20
11,s22,t20
130,s28,t20
940,s29,t20
49960,s30,t20
520,s31,t20
211,s32,t20
388,s33,t20
12,s2,t21
695,s13,t21
323,s14,t21
93,s15,t21
192,s16,t21
88,s17,t21
40,s18,t21
73,s19,t21
25,s21,t21
14,s22,t21
17,s23,t21
79,s28,t21
458,s29,t21
34552,s30,t21
94,s31,t21
136,s32,t21
173,s33,t21
766,s13,t22
100,s14,t22
212,s15,t22
534,s16,t22
695,s17,t22
534,s18,t22
21,s19,t22
77,s20,t22
820,s21,t22
92,s22,t22
181,s23,t22
565,s24,t22
328,s30,t22
31,s13,t23
17,s14,t23
7,s15,t23
29,s16,t23
79,s17,t23
6,s18,t23
13,s19,t23
25,s22,t23
7,s23,t23
20,s24,t23
134,s28,t23
63,s29,t23
37472,s30,t23
260,s31,t23
215,s32,t23
259,s33,t23
144,s13,t24
33,s14,t24
51,s15,t24
7,s16,t24
11,s21,t24
51,s24,t24
92,s28,t24
689,s29,t24
37840,s30,t24
274,s31,t24
115,s32,t24
132,s33,t24
145,s13,t25
40,s14,t25
79,s15,t25
175,s16,t25
648,s17,t25
95,s18,t25
72,s19,t25
10,s20,t25
110,s21,t25
568,s22,t25
713,s23,t25
400,s24,t25
14,s28,t25
56,s29,t25
13745,s30,t25
133,s31,t25
103,s32,t25
248,s33,t25
221,s13,t26
141,s14,t26
33,s16,t26
52,s17,t26
13,s21,t26
71,s28,t26
350,s29,t26
28551,s30,t26
413,s31,t26
93,s32,t26
302,s33,t26
58,s13,t27
96,s15,t27
321,s16,t27
43,s17,t27
112,s22,t27
446,s24,t27
193,s28,t27
27,s29,t27
22099,s30,t27
151,s31,t27
9,s32,t27
25,s33,t27
145,s13,t28
102,s15,t28
75,s16,t28
125,s17,t28
42,s19,t28
47,s22,t28
60,s24,t28
65,s28,t28
74,s29,t28
15549,s30,t28
161,s31,t28
254,s32,t28
410,s33,t28
28,s13,t29
30,s14,t29
26,s15,t29
162,s16,t29
63,s17,t29
16,s19,t29
18,s22,t29
16,s24,t29
51,s28,t29
67,s29,t29
26949,s30,t29
106,s31,t29
70,s32,t29
69,s33,t29
63,s13,t30
12,s14,t30
28,s15,t30
56,s17,t30
5,s18,t30
17,s19,t30
11,s21,t30
1011,s24,t30
66,s28,t30
110,s29,t30
10771,s30,t30
30,s31,t30
240,s32,t30
37,s33,t30
258,s13,t31
128,s14,t31
80,s15,t31
63,s16,t31
39,s17,t31
